type,title,cast,release_year,listed_in,Plataforma,seasson_quantity,movie_duration
Movie,The Grand Seduction,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",2014,"Comedy, Drama",amazon,0,113
Movie,Take Care Good Night,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,"Drama, International",amazon,0,110
Movie,Secrets of Deception,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",2017,"Action, Drama, Suspense",amazon,0,74
Movie,Pink: Staying True,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",2014,Documentary,amazon,0,69
Movie,Monster Maker,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",1989,"Drama, Fantasy",amazon,0,45
Movie,Living With Dinosaurs,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",1989,"Fantasy, Kids",amazon,0,52
Movie,Hired Gun,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",2017,"Documentary, Special Interest",amazon,0,98
Movie,Grease Live!,"Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",2016,Comedy,amazon,0,131
Movie,Global Meltdown,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",2017,"Action, Science Fiction, Suspense",amazon,0,87
Movie,David's Mother,"Kirstie Alley, Sam Waterston, Stockard Channing",1994,Drama,amazon,0,92
